Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,25,1,0.5,-6.3268328271857515,-5.945336347180006,0.31394114129543255,-5.1721784628165555,-0.15046622978267193
100% Corpus,25,1,1,-6.3858911855028335,-5.471337886589871,0.3044369768434473,-4.4828369809967406,-0.12552538056493723
100% Corpus,25,1,symmetric,-6.546980675920611,-6.529680927033349,0.333674072778796,-5.597878722516157,-0.16556592360168884
100% Corpus,25,symmetric,0.01,-6.328783872490147,-5.86408675271594,0.3039997239151413,-5.030064885739264,-0.15428941672070637
100% Corpus,25,symmetric,0.1,-5.991745335203325,-5.976974760099325,0.3118410124990839,-5.126414354783432,-0.15913954114395548
100% Corpus,25,symmetric,0.5,-5.957496526931137,-6.009266649337325,0.30063368332335844,-5.333703775655693,-0.16697448154389313
100% Corpus,25,symmetric,1,-6.003061646807915,-6.113657860293402,0.30202107890285906,-5.302671502889052,-0.1634543993632983
100% Corpus,25,symmetric,symmetric,-6.090228649674533,-5.873007856635938,0.3051168065959373,-5.075722698712228,-0.15664203919478223
100% Corpus,25,asymmetric,0.01,-6.329365738061486,-6.07414576837638,0.30766728147545985,-5.259832278955969,-0.16359020450445846
100% Corpus,25,asymmetric,0.1,-5.9935684343229765,-5.944266168376719,0.29519403430879726,-5.225663522614379,-0.1624579049101689
100% Corpus,25,asymmetric,0.5,-5.956817031856996,-5.839451154794378,0.2949881053406712,-5.091604991298107,-0.15860158910743982
100% Corpus,25,asymmetric,1,-6.007685298281093,-6.014110855569101,0.2974594697103043,-5.380557094847105,-0.16668932711500994
100% Corpus,25,asymmetric,symmetric,-6.091136584687121,-6.0754494830682315,0.30759348698976996,-5.26076505847787,-0.16353477429480542
100% Corpus,30,0.01,0.01,-6.324670384054273,-6.424903221766012,0.3229402349807312,-5.591769759222218,-0.17321212904205088
100% Corpus,30,0.01,0.1,-5.957761644064426,-6.455684460753274,0.3229982231689126,-5.663665185608991,-0.1775329788982658
100% Corpus,30,0.01,0.5,-5.913667733844136,-6.391075595175678,0.32564271001649564,-5.6493637332006585,-0.17775186616178737
100% Corpus,30,0.01,1,-5.96960673661093,-6.323521417187946,0.3103195354918983,-5.591496984129395,-0.17458733367590604
100% Corpus,30,0.01,symmetric,-6.092154127817037,-6.4885110785846445,0.3249319314242197,-5.690381565043565,-0.17802758331474056
100% Corpus,30,0.1,0.01,-6.388822887419991,-6.470725290448103,0.3194479523359707,-5.649497542564894,-0.17525565607637422
100% Corpus,30,0.1,0.1,-6.022749299795843,-6.46409179219569,0.32185516633107786,-5.6405924071837585,-0.17531369112794623
100% Corpus,30,0.1,0.5,-5.998367338413559,-6.349860615923448,0.32584938564169547,-5.59355803608281,-0.1760007705630292
100% Corpus,30,0.1,1,-6.0595466046380135,-6.1609837705134405,0.31047589146018084,-5.4509392662000495,-0.16989744166181672
100% Corpus,30,0.1,symmetric,-6.1533108890264,-6.492238800243886,0.3231408931670282,-5.643372040900117,-0.17591569924002562
100% Corpus,30,0.5,0.01,-6.707300964499501,-6.655567871675471,0.3322355079764472,-5.9187024018004735,-0.18181682662997528
100% Corpus,30,0.5,0.1,-6.228270879983994,-6.7654688849711215,0.336009366641869,-5.986718338730602,-0.18403763110852203
100% Corpus,30,0.5,0.5,-6.206658312414948,-6.26744060747352,0.32069564014276714,-5.428313786084177,-0.1651456646740079
100% Corpus,30,0.5,1,-6.280992539128267,-6.284034837033233,0.3140744823461672,-5.486703244192315,-0.16582840289611886
